CHEMICAL MASTER INVENTORY
DATE:	7/30/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	62.00	461.45	591.25	118.43	5.00	18.34	156.00	221	156	11840	1554
Centralia	2.00	270.00	632.00	55.00	20.00	70.00	160.00	83	159	6200	1472
Danville	152.50	275.00	191.75	10.00	150.00	111.00	59.00	176	82	12435	96
Decatur	26.00	200.00	120.00	126.00	45.00	20.00	55.00	90	36	8268	752
Dixon
117.00	0.00	306.00	110.00	0.00	55.00	130.00	168	206	6280	2384
East Moline	87.00	95.00	250.00	283.00	104.00	353.00	42.00	6	342	13780	1086
Graham	45.00	126.00	347.25	125.75	73.25	51.50	182.75	258	108	9948	1675
Hill	42.00	216.00	240.00	110.00	0.00	55.00	85.00	126	187	16200	2642
Illinois River	85.68	275.00	132.00	165.00	0.00	110.00	110.00	132	87	6800	1863
Jacksonville
10.00	275.00	1000.00	317.00	154.75	174.00	55.00	431	52	12486	1089
Pittsfield WC	0.00	0.00	43.50	9.25	164.50	20.00	0.00	34	0	2306	93
JTC	26.00	58.00	237.00	102.00	0.00	100.00	79.00	0	239	7600	787
Elgin	11.00	0.00	75.00	12.00	0.00	0.00	52.00	11	20	2533	446
Kewanee	29.50	217.00	341.00	144.00	85.00	55.00	86.00	18	65	7540	926
Lawrence
65.75	0.00	175.00	110.00	0.00	358.00	104.00	215	274	21228	1697
Lincoln	48.00	263.00	810.00	163.00	270.00	165.00	59.00	18	138	13600	1458
Logan	40.00	0.00	271.00	52.00	0.00	4.00	220.00	0	0	10580	2803
Menard	57.00	220.00	267.50	247.50	0.00	135.00	101.00	166	89	11849	3345
Pinckneyville	79.00	159.00	1076.00	165.00	0.00	230.00	110.00	0	51	11697	1711
Murphysboro
9.00	215.00	121.00	10.00	30.00	195.00	189.00	20	132	4000	197
Pontiac	82.00	275.00	355.00	124.00	55.00	55.00	115.00	90	90	12450	3250
Robinson	48.00	275.00	385.00	110.00	11.00	40.00	41.00	0	0	10880	1417
Shawnee	39.00	275.00	264.00	110.00	24.00	70.00	84.00	210	149	6676	1721
Sheridan	47.00	275.00	280.00	55.00	0.00	110.00	110.00	183	0	12405	2069
SWICC
37.00	163.00	124.00	159.00	9.00	140.00	55.00	0	0	11560	1128
Stateville	8.00	200.00	25.00	31.50	96.00	0.00	44.00	460	110	625	5
Stateville NRC	59.00	180.00	15.00	38.00	35.00	5.00	880.00	24	49	25768	650
Taylorville	3.00	28.00	352.00	172.00	0.00	90.00	135.00	77	138	13212	1302
Vandalia	42.00	275.00	255.00	110.00	85.00	80.00	86.00	28	0	14920	1785
Vienna
67.00	224.00	892.00	94.00	9.00	32.00	58.00	3	93	3320	1541
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	22.00	250.00	1322.00	120.00	265.00	285.00	59.00	179	158	12000	1483
Fox Valley ATC	22.00	0.00	359.00	0.00	0.00	0.00	0.00	7	3	1556	206
Peoria ATC
16.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1491	106
 

